ordinal	original_name	original_url	final_url	http_status	disposition	source	params_json	api_url	job_count	evidence_or_error
1	Tower Research	https://www.tower-research.com/open-positions	https://job-boards.greenhouse.io/towerresearchcapital	200	duplicate	greenhouse	"{""board_token"":""towerresearchcapital""}"	https://boards-api.greenhouse.io/v1/boards/towerresearchcapital/jobs?content=true	78	Tower Research Capital’s exact Greenhouse identity was already configured; this row is recorded without importing the board twice.
2	Microsoft India	https://careers.microsoft.com/	https://apply.careers.microsoft.com/careers?domain=microsoft.com	200	validated_supported	eightfold	"{""host"":""apply.careers.microsoft.com"",""domain"":""microsoft.com"",""location"":""India""}"	https://apply.careers.microsoft.com/api/pcsx/search?domain=microsoft.com	165	Microsoft’s first-party careers flow exposes this Eightfold host/domain; its anonymous search returned 165 India-scoped jobs and its detail endpoint returned complete descriptions.
3	Nutanix	https://nutanix.eightfold.ai/careers?&domain=nutanix.com	https://careers.nutanix.com/en/jobs/	200	validated_supported	nutanix	{}	https://careers.nutanix.com/en/jobs/xml/?rss=true	225	Nutanix’s current first-party careers board links a complete anonymous XML feed. Jobwatch parsed all 225 current jobs with stable requisition IDs, canonical public URLs, posting dates, locations, employment types, and full descriptions; the supplied Eightfold board is stale.
4	Uber	https://www.uber.com/in/en/careers/list/	https://iaziqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/UberCareers	200	validated_supported	oraclece	"{""host"":""iaziqy.fa.ocs.oraclecloud.com"",""site"":""CX_1""}"	https://iaziqy.fa.ocs.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions	636	Uber’s current first-party apply flow identifies Oracle Candidate Experience site CX_1; its anonymous list returned 636 jobs and requisition details returned complete descriptions.
5	CRED	https://careers.cred.club/allJob	https://jobs.lever.co/cred	200	duplicate	lever	"{""site"":""cred""}"	https://api.lever.co/v0/postings/cred?mode=json	4	CRED’s exact Lever identity was already configured; this row is recorded without importing the board twice.
6	Adobe	https://careers.adobe.com/us/en	https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced	200	duplicate	workday	"{""host"":""adobe.wd5.myworkdayjobs.com"",""tenant"":""adobe"",""site"":""external_experienced""}"	https://adobe.wd5.myworkdayjobs.com/wday/cxs/adobe/external_experienced/jobs	867	Adobe’s exact Workday identity was already configured; this row is recorded without importing the board twice.
7	Salesforce	https://www.salesforce.com/company/careers/	https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site	200	validated_supported	workday	"{""host"":""salesforce.wd12.myworkdayjobs.com"",""tenant"":""salesforce"",""site"":""External_Career_Site"",""max_postings"":2000}"	https://salesforce.wd12.myworkdayjobs.com/wday/cxs/salesforce/External_Career_Site/jobs	1483	Salesforce’s first-party careers flow links this exact Workday tenant/site; the list API returned 1,483 open jobs.
8	Amazon	https://www.amazon.jobs/en	https://www.amazon.jobs/en/search	200	validated_supported	amazon	"{""country_code"":""IND""}"	https://www.amazon.jobs/en/search.json?normalized_country_code%5B%5D=IND	2618	Amazon Jobs’ first-party JSON search returned 2,618 India-scoped active postings with stable IDs and full descriptions.
9	Sprinklr	https://sprinklr.wd1.myworkdayjobs.com/careers	https://sprinklr.wd1.myworkdayjobs.com/en-US/careers	200	duplicate	workday	"{""host"":""sprinklr.wd1.myworkdayjobs.com"",""tenant"":""sprinklr"",""site"":""careers""}"	https://sprinklr.wd1.myworkdayjobs.com/wday/cxs/sprinklr/careers/jobs	86	Sprinklr’s supplied Workday identity was already configured; this row is recorded without importing the board twice.
10	Palo Alto Networks	https://jobs.paloaltonetworks.com/	https://paloaltonetworks.wd5.myworkdayjobs.com/en-US/panwexternalcareers	200	duplicate	workday	"{""host"":""paloaltonetworks.wd5.myworkdayjobs.com"",""tenant"":""paloaltonetworks"",""site"":""panwexternalcareers""}"	https://paloaltonetworks.wd5.myworkdayjobs.com/wday/cxs/paloaltonetworks/panwexternalcareers/jobs	1409	Palo Alto Networks’ exact Workday identity was already configured; this row is recorded without importing the board twice.
11	BNY Mellon	https://bnymellon.eightfold.ai/careers?query=Technology&page=1	https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers	200	validated_supported	oraclece	"{""host"":""eofe.fa.us2.oraclecloud.com"",""site"":""BNY-Careers""}"	https://eofe.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions	1651	BNY’s official careers site now links Oracle Candidate Experience site BNY-Careers; its anonymous list returned 1,651 jobs, replacing the stale supplied Eightfold board.
12	Atlassian	https://www.atlassian.com/company/careers/all-jobs?team=Engineering&location=&search=	https://www.atlassian.com/company/careers/all-jobs	200	validated_supported	atlassian	{}	https://www.atlassian.com/endpoint/careers/listings	222	Atlassian’s first-party listings endpoint returned all 222 current jobs with stable IDs, locations, descriptions, and apply URLs.
13	BharatX	https://bharatx.tech/careers/	https://apply.workable.com/bharatx/	200	manual_review	workable	"{""account"":""bharatx""}"	https://apply.workable.com/api/v1/widget/accounts/bharatx?details=true	0	The first-party BharatX page and Workable metadata identify account bharatx, but its public API returned zero postings; retained for manual review rather than configuring an empty board.
14	Zomato	Only accept applications through employee referrals.			dead					The source supplies referral-only prose rather than a career URL; no current supported public board was verified.
15	App Dynamics	https://jobs.cisco.com/jobs/SearchJobs/appd	https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers	200	duplicate	workday	"{""host"":""cisco.wd5.myworkdayjobs.com"",""tenant"":""cisco"",""site"":""Cisco_Careers"",""max_postings"":2000}"	https://cisco.wd5.myworkdayjobs.com/wday/cxs/cisco/Cisco_Careers/jobs	1057	AppDynamics is a Cisco business and its supplied search now resolves within Cisco Careers. Cisco’s exact Workday board is already configured at ordinal 52, so importing this row separately would duplicate the same 1,057-job board.
16	Expedia Group	https://careers.expediagroup.com/jobs/	https://expedia.wd108.myworkdayjobs.com/en-US/search	200	duplicate	workday	"{""host"":""expedia.wd108.myworkdayjobs.com"",""tenant"":""expedia"",""site"":""search""}"	https://expedia.wd108.myworkdayjobs.com/wday/cxs/expedia/search/jobs	162	Expedia Group’s exact Workday identity was already configured; this row is recorded without importing the board twice.
17	Electronic Arts	https://www.ea.com/careers	https://jobs.ea.com/en_US/careers/SearchJobs	200	validated_supported	avature	"{""host"":""jobs.ea.com"",""site"":""en_US/careers"",""search_path"":""SearchJobs""}"	https://jobs.ea.com/en_US/careers/SearchJobs	384	EA’s first-party Avature search reported 384 complete paginated postings; detail pages expose stable role IDs and full descriptions.
18	Media.net	https://careers.media.net/	https://careers.media.net/	200	validated_supported	medianet	{}	https://careers.media.net/	7	Media.net’s first-party server-rendered careers page reported seven openings and each detail page returned a stable post ID and full role description.
19	Meesho	https://www.meesho.io/jobs	https://jobs.lever.co/meesho	200	duplicate	lever	"{""site"":""meesho""}"	https://api.lever.co/v0/postings/meesho?mode=json	43	Meesho’s exact Lever identity was already configured; this row is recorded without importing the board twice.
20	Mesho	https://www.meesho.io/jobs	https://www.meesho.io/jobs		duplicate					Exact duplicate of ordinal 19: the same Meesho career URL under the misspelled name “Mesho”; do not import twice.
21	DE Shaw & Co	https://www.deshaw.com/careers	https://www.deshaw.com/careers	200	validated_supported	deshaw	{}	https://www.deshaw.com/careers	89	D. E. Shaw’s first-party Next.js data contained 75 regular roles and 14 internships with stable IDs and complete descriptions.
22	Arcesium	https://careers.arcesium.com/go/All-Jobs/4687610/	https://job-boards.greenhouse.io/arcesiumllc	200	validated_supported	greenhouse	"{""board_token"":""arcesiumllc""}"	https://boards-api.greenhouse.io/v1/boards/arcesiumllc/jobs?content=true	29	Arcesium’s current first-party careers page exposes this identity-matched Greenhouse board; its public API returned HTTP 200 with 29 open jobs.
23	Data Insights	https://datainsights.de/careers/openings/	https://datainsights.de/careers/openings/	000	dead					The supplied Data Insights careers endpoint failed TLS/connection checks, and no current supported replacement board was verified.
24	Trilogy Innovations ( codenation)	mailto:careers@trilogyinnovations.com	mailto:careers@trilogyinnovations.com		dead					The source supplies only an email address, not a machine-readable careers board; no current supported replacement was verified.
25	Airbnb	https://careers.airbnb.com/positions/	https://job-boards.greenhouse.io/airbnb	200	duplicate	greenhouse	"{""board_token"":""airbnb""}"	https://boards-api.greenhouse.io/v1/boards/airbnb/jobs?content=true	197	Airbnb’s exact Greenhouse identity was already configured; this row is recorded without importing the board twice.
26	Visa	https://www.visa.co.in/en_in/jobs/	https://www.visa.co.in/en_in/jobs/	200	duplicate	multiple	"[{""source"":""workday"",""host"":""visa.wd5.myworkdayjobs.com"",""tenant"":""visa"",""site"":""Visa""},{""source"":""smartrecruiters"",""company_id"":""Visa""}]"	"[""https://visa.wd5.myworkdayjobs.com/wday/cxs/visa/Visa/jobs"",""https://api.smartrecruiters.com/v1/companies/Visa/postings?limit=100&offset=0""]"	907	Visa’s two exact supported identities (Workday and SmartRecruiters) were already configured; this source row is recorded without importing either board twice.
27	PayPal	https://paypal.eightfold.ai/careers?query=Engineering&domain=paypal.com&triggerGoButton=false	https://paypal.wd1.myworkdayjobs.com/en-US/jobs	200	validated_supported	workday	"{""host"":""paypal.wd1.myworkdayjobs.com"",""tenant"":""paypal"",""site"":""jobs""}"	https://paypal.wd1.myworkdayjobs.com/wday/cxs/paypal/jobs/jobs	147	PayPal’s current first-party careers flow links this Workday tenant/site; the list API returned HTTP 200 with 147 open jobs, replacing the stale supplied Eightfold URL.
28	Qualcomm	https://qualcomm.wd5.myworkdayjobs.com/External	https://qualcomm.wd12.myworkdayjobs.com/en-US/External	200	manual_review	workday	"{""host"":""qualcomm.wd12.myworkdayjobs.com"",""tenant"":""qualcomm"",""site"":""External""}"	https://qualcomm.wd12.myworkdayjobs.com/wday/cxs/qualcomm/External/jobs	0	The supplied wd5 address is stale. Qualcomm’s current wd12 Workday list API returned zero postings while the careers UI showed inconsistent results, so no live board was configured.
