ordinal	original_name	original_url	final_url	http_status	disposition	source	params_json	api_url	job_count	evidence_or_error
1	Accenture	https://www.accenture.com/in-en/careers	https://www.accenture.com/in-en/careers	200	validated_supported	workday	"{""host"":""accenture.wd103.myworkdayjobs.com"",""tenant"":""accenture"",""site"":""AccentureCareers""}"	https://accenture.wd103.myworkdayjobs.com/wday/cxs/accenture/AccentureCareers/jobs	2000	First-party Accenture page linked this Workday tenant/site; POST returned valid JSON and total=2000.
2	Accolite software	https://www.accolite.com/careers	https://www.bounteous.com/careers	200	validated_supported	lever	"{""site"":""bounteous""}"	https://api.lever.co/v0/postings/bounteous?mode=json	25	Accolite redirects to Bounteous careers; the current Bounteous Lever board/API returned 25 jobs, and its application form explicitly identifies former/current Accolite staff (acquisition mapping).
3	Accord software	https://accord-global.com/careers.html	https://accord-global.com/	200	manual_review					Accord careers URL redirects to the company homepage, losing the careers path; no supported ATS identity was established.
4	Adobe	https://www.adobe.com/careers.html	https://www.adobe.com/careers.html	000	validated_supported	workday	"{""host"":""adobe.wd5.myworkdayjobs.com"",""tenant"":""adobe"",""site"":""external_experienced""}"	https://adobe.wd5.myworkdayjobs.com/wday/cxs/adobe/external_experienced/jobs	867	Current Adobe job URLs use this exact Workday tenant/site; POST returned valid JSON and total=867.
5	Able	https://able.co/team	https://able.co/team	200	validated_supported	greenhouse	"{""board_token"":""able""}"	https://boards-api.greenhouse.io/v1/boards/able/jobs?content=true	5	Able careers linked its Greenhouse board; exact board API returned valid JSON with 5 jobs.
6	Abstract	https://angel.co/company/abstract/jobs	https://wellfound.com/company/abstract/jobs	403	unsupported					Supplied Abstract URL resolves to Wellfound, which jobwatch does not support.
7	Acko	https://www.acko.com/careers/jobs/	https://www.acko.com/careers/jobs/	200	unsupported					Live Acko first-party careers site was inspected; no supported ATS board/API identity was present.
8	Accredible	https://careers.accredible.com/	https://careers.accredible.com/	200	unsupported					Accredible uses Pinpoint, which jobwatch does not support.
9	Activision Blizzard	https://careers.activisionblizzard.com/	https://careers.activisionblizzard.com/	200	manual_review	workday	"{""host"":""xboxgaming.wd1.myworkdayjobs.com"",""tenant"":""xboxgaming"",""site"":""External""}"	https://xboxgaming.wd1.myworkdayjobs.com/wday/cxs/xboxgaming/External/jobs	60	Activision Blizzard careers now routes through Microsoft Gaming. Exact Xbox Gaming External Workday API returned 60; a separate CentralTech site also returned 8, so board coverage needs an owner decision.
10	Affinidi	https://www.affinidi.com/careers	https://www.affinidi.com/careers	200	validated_supported	greenhouse	"{""board_token"":""affinidi""}"	https://boards-api.greenhouse.io/v1/boards/affinidi/jobs?content=true	9	Affinidi careers exposed this Greenhouse identity; exact API returned valid JSON with 9 jobs.
11	Agile Solutions	http://agilesolutions.com/careers-2/	https://agilesolutions.com/careers-2/	404	dead					Supplied Agile Solutions careers URL returned HTTP 404; no replacement supported ATS identity was found.
12	Agnikul Cosmos	https://agnikul.in/#/career	https://agnikul.in/#/career	200	unsupported					Live Agnikul first-party careers site was inspected; no supported ATS board/API identity was present.
13	Airbase	https://www.airbase.com/careers	https://www.paylocity.com/company/careers/	200	unsupported					Airbase careers redirects to Paylocity following its Paylocity acquisition; no supported distinct board was found.
14	Airbnb	https://careers.airbnb.com/	https://careers.airbnb.com/	200	validated_supported	greenhouse	"{""board_token"":""airbnb""}"	https://boards-api.greenhouse.io/v1/boards/airbnb/jobs?content=true	197	Exact current Airbnb Greenhouse board/API returned valid JSON with 197 jobs.
15	Airbus	https://www.airbus.com/careers.html	https://www.airbus.com/en/careers	200	validated_supported	workday	"{""host"":""ag.wd3.myworkdayjobs.com"",""tenant"":""ag"",""site"":""Airbus""}"	https://ag.wd3.myworkdayjobs.com/wday/cxs/ag/Airbus/jobs	2000	Airbus careers linked this exact Workday board; POST returned valid JSON and total=2000.
16	Airtel x labs	https://careers.airtel.com/	https://careers.airtel.com/	200	unsupported					Airtel X Labs uses Airtel’s proprietary careers site; no supported ATS identity was present.
17	Ajio	https://www.ajio.com/ajio-careers	https://www.ajio.com/ajio-careers	403	unsupported					AJIO careers endpoint is blocked and jobs route through Reliance’s unsupported careers stack; no supported API identity validated.
18	Akamai	https://www.akamai.com/careers	https://www.akamai.com/careers	403	unsupported					Akamai careers endpoint returned HTTP 403; live-board inspection/search found no exact supported ATS API identity.
19	Alibaba Group	https://talent.alibaba.com/en/home?lang=en	https://talent.alibaba.com/en/home	200	unsupported					Alibaba uses its own careers platform; no supported ATS identity was present.
20	Alstom	https://www.alstom.com/careers	https://www.alstom.com/careers	200	unsupported					Alstom uses SAP SuccessFactors, which jobwatch does not support.
